aX,aY,aZ,gX,gY,gZ
0.019,0.673,1.022,-248.291,21.545,-16.907
0.027,0.707,1.141,-236.084,20.325,-23.987
-0.002,0.557,1.190,-211.731,12.756,-13.733
-0.016,0.445,1.123,-178.040,-15.259,39.795
0.009,0.281,0.926,-176.208,-24.658,67.444
0.049,0.219,0.833,-184.998,-46.875,84.351
0.082,0.208,0.674,-194.031,-57.434,76.843
0.047,0.259,0.598,-206.543,-59.143,39.368
-0.106,0.471,0.459,-217.590,-48.096,15.991
-0.163,0.613,0.461,-262.695,-4.761,-14.038
-0.218,0.861,0.632,-282.593,18.188,-17.517
-0.210,0.947,0.746,-285.034,36.072,-7.202
-0.117,1.146,0.904,-273.437,33.203,3.296
-0.033,1.284,0.977,-249.084,25.452,17.029
0.136,1.636,1.305,-240.906,28.442,10.620
0.189,1.797,1.570,-232.544,38.574,-5.554
0.194,1.892,1.833,-179.871,56.580,-32.959
0.096,1.887,2.091,-126.831,47.241,-28.809
0.014,1.801,1.970,-2.563,1.892,12.756
-0.085,1.546,1.447,44.983,-12.817,40.894
-0.027,1.466,1.302,91.125,-5.981,77.209
0.190,1.462,1.442,100.525,5.798,69.946
0.251,1.488,1.547,130.981,27.039,8.606
0.220,1.568,1.505,156.677,33.813,-25.330
0.176,1.582,1.437,210.205,37.109,-62.012
0.072,1.474,1.326,234.802,28.320,-62.622
0.007,1.350,1.281,276.917,-8.972,-39.551
-0.094,1.099,1.112,291.809,-27.954,-20.996
-0.129,0.984,1.007,311.279,-46.509,10.193
-0.144,0.747,0.863,318.726,-41.138,14.893
-0.115,0.617,0.805,322.937,-26.489,8.667
-0.084,0.458,0.743,324.524,-1.587,-11.658
-0.060,0.225,0.637,321.594,-7.324,-13.794
-0.060,0.192,0.612,306.458,-36.865,-13.367
-0.043,0.266,0.553,296.936,-38.391,-19.592
-0.040,0.269,0.538,289.612,-16.968,-39.551
-0.026,0.298,0.534,292.664,-2.625,-52.917
-0.021,0.273,0.517,294.678,13.977,-75.562
-0.015,0.249,0.513,289.917,4.456,-72.205
-0.008,0.304,0.554,277.283,-26.978,-60.059
-0.003,0.504,0.672,275.085,-24.475,-66.833
0.002,0.475,0.680,297.180,17.761,-91.980
0.026,0.323,0.508,316.895,23.010,-89.783
0.042,0.395,0.378,335.388,-11.536,-75.684
-0.019,0.329,0.220,337.097,-35.278,-66.772
-0.095,0.231,0.160,346.069,-102.112,-19.958
-0.247,-0.146,-0.176,357.910,-139.893,9.399
-0.330,-0.342,-0.540,380.005,-196.594,61.951
-0.432,-0.999,-1.620,382.324,-208.740,83.008
-0.378,-1.497,-2.221,330.994,-200.439,130.737
0.044,-2.413,-3.308,268.616,-171.143,138.916
0.263,-2.718,-3.614,85.999,-61.584,80.139
0.290,-2.607,-3.165,-18.127,-7.141,38.879
0.170,-2.188,-2.482,-193.970,67.078,-12.695
0.064,-1.356,-1.181,-243.835,92.773,-25.574
0.098,-1.127,-0.768,-269.897,109.863,-31.921
0.178,-0.909,-0.251,-290.161,108.704,-28.870
0.185,-0.831,-0.084,-293.030,95.093,-24.109
0.123,-0.747,0.117,-277.771,59.082,-19.653
0.072,-0.707,0.165,-265.137,41.138,-15.442
-0.073,-0.644,0.198,-231.201,7.874,-17.456

0.171,1.416,1.348,-254.700,45.776,-48.828
0.152,1.568,1.533,-235.840,13.489,-29.663
-0.025,1.708,2.032,-206.421,-2.991,-24.902
-0.132,1.677,2.148,-112.671,-3.113,-20.142
